"route","date","daytype","rides"
"1","09/27/2010","W","2,966"
"1","09/28/2010","W","3,272"
"1","09/29/2010","W","2,878"
"1","09/30/2010","W","2,970"
"1","10/01/2010","W","2,929"
"1","10/04/2010","W","2,907"
"1","10/05/2010","W","3,025"
"1","10/06/2010","W","3,138"
"1","10/07/2010","W","3,107"
"1","10/08/2010","W","3,010"
"1","10/11/2010","W","2,085"
"1","10/12/2010","W","3,184"
"1","10/13/2010","W","3,150"
"1","10/14/2010","W","3,452"
"1","10/15/2010","W","3,079"
"1","10/18/2010","W","2,919"
"1","10/19/2010","W","3,220"
"1","10/20/2010","W","3,406"
"1","10/21/2010","W","3,164"
"1","10/22/2010","W","2,648"
"1","10/25/2010","W","2,837"
"1","10/26/2010","W","3,186"
"1","10/27/2010","W","3,139"
"1","10/28/2010","W","3,251"
"1","10/29/2010","W","2,915"
"1","11/01/2010","W","2,944"
"1","11/02/2010","W","3,156"
"1","11/03/2010","W","3,272"
"1","11/04/2010","W","3,086"
"1","11/05/2010","W","3,018"
"1","11/08/2010","W","3,159"
"1","11/09/2010","W","3,319"
"1","11/10/2010","W","3,590"
"1","11/11/2010","W","2,263"
"1","11/12/2010","W","2,579"
"1","11/15/2010","W","3,280"
"1","11/16/2010","W","3,253"
"1","11/17/2010","W","3,147"
"1","11/18/2010","W","2,838"
"1","11/19/2010","W","2,958"
"1","11/22/2010","W","2,946"
"1","11/23/2010","W","2,982"
"1","11/24/2010","W","2,480"
"1","11/26/2010","W","1,046"
"1","11/29/2010","W","2,946"
"1","11/30/2010","W","3,322"
"1","12/01/2010","W","2,970"
"1","12/02/2010","W","3,163"
"1","12/03/2010","W","3,028"
"1","12/06/2010","W","2,651"
"1","12/07/2010","W","2,899"
"1","12/08/2010","W","3,000"
"1","12/09/2010","W","2,927"
"1","12/10/2010","W","3,043"
"1","12/13/2010","W","2,863"
"1","12/14/2010","W","2,846"
"1","12/15/2010","W","3,063"
"1","12/16/2010","W","2,672"
"1","12/17/2010","W","2,628"
"1","12/20/2010","W","2,159"
"1","12/21/2010","W","2,313"
"1","12/22/2010","W","2,024"
"1","12/23/2010","W","1,584"
"1","12/24/2010","W","739"
"1","12/27/2010","W","1,688"
"1","12/28/2010","W","1,900"
"1","12/29/2010","W","1,907"
"1","12/30/2010","W","1,802"
"1","12/31/2010","W","1,084"
"1","01/03/2011","W","2,503"
"1","01/04/2011","W","2,866"
"1","01/05/2011","W","3,157"
"1","01/06/2011","W","2,953"
"1","01/07/2011","W","2,749"
"1","01/10/2011","W","3,128"
"1","01/11/2011","W","3,094"
"1","01/12/2011","W","3,071"
"1","01/13/2011","W","3,092"
"1","01/14/2011","W","3,029"
"1","01/17/2011","W","1,576"
"1","01/18/2011","W","3,504"
"1","01/19/2011","W","3,195"
"1","01/20/2011","W","3,223"
"1","01/21/2011","W","2,488"
"1","01/24/2011","W","3,330"
"1","01/25/2011","W","3,391"
"1","01/26/2011","W","3,726"
"1","01/27/2011","W","3,164"
"1","01/28/2011","W","2,659"
"1","01/31/2011","W","2,990"
"1","02/01/2011","W","2,822"
"1","02/02/2011","W","317"
"1","02/03/2011","W","2,141"
"1","02/04/2011","W","2,870"
"1","02/07/2011","W","3,385"
"1","02/08/2011","W","3,267"
"1","02/09/2011","W","3,337"
"1","02/10/2011","W","2,816"
"1","02/11/2011","W","3,082"
"1","02/14/2011","W","3,198"
"1","02/15/2011","W","3,208"
"1","02/16/2011","W","3,330"
"1","02/17/2011","W","3,051"
"1","02/18/2011","W","3,288"
"1","02/21/2011","W","1,549"
"1","02/22/2011","W","3,203"
"1","02/23/2011","W","3,062"
"1","02/24/2011","W","3,086"
"1","02/25/2011","W","3,015"
"1","02/28/2011","W","3,046"
"1","03/01/2011","W","2,985"
"1","03/02/2011","W","3,099"
"1","03/03/2011","W","3,051"
"1","03/04/2011","W","3,080"
"1","03/07/2011","W","2,349"
"1","03/08/2011","W","3,130"
"1","03/09/2011","W","3,201"
"1","03/10/2011","W","2,722"
